"rid","binaryID"
462,"10101000101001"
473,"1010110001"
479,"10101000101000"
489,"1010100010100"
492,"1010100010101"
508,"101010001010"
535,"101010001011"
538,"1010110000"
549,"10101000101"
550,"101011001"
565,"1010111"
575,"10101000100"
577,"1010100011"
579,"1010100010"
585,"101010001"
586,"101010000"
587,"10101000"
588,"11"
590,"10101001"
591,"1010100"
593,"10100"
594,"1000"
596,"1010101"
598,"101010"
600,"1001"
608,"100"
609,"1011"
786,"101011000"
787,"10101101"
788,"10101100"
789,"1010110"
799,"101011"
800,"10101"
801,"1010"
802,"101"
803,"10"
804,"1"
