"rid","binaryID"
488,"101101100000000010100111011000100100"
534,"10110110000000001010011101100010011"
539,"101101100000000010100111011000100101"
540,"10110110000000001010011101100010010"
553,"1011011000000000101001110110001001"
554,"1011011000000000101001110110001000"
555,"101101100000000010100111011000100"
556,"101101100000000010100111011000101"
557,"10110110000000001010011101100010"
558,"10110110000000001010011101100011"
559,"1011011000000000101001110110001"
560,"10110110000000001010011101100000"
561,"10110110000000001010011101100001"
562,"1011011000000000101001110110000"
563,"101101100000000010100111011000"
568,"101101100000000010100111011001"
569,"10110110000000001010011101101"
570,"10110110000000001010011101100"
571,"1011011000000000101001110110"
572,"1011011000000000101001110111"
573,"101101100000000010100111011"
578,"101101100000000010100111010"
580,"10110110000000001010011100"
581,"10110110000000001010011101"
582,"1011011000000000101001110"
583,"1011011000000000101001111"
584,"101101100000000010100111"
589,"101101100000000010100110"
592,"101101100000000010101"
595,"10110110000000001010011"
597,"10110110000000001010010"
599,"10110110000111"
601,"1011011000000000101001"
602,"1011011000000000101000"
603,"101101100000000010100"
604,"1011011000000000101111"
605,"1011011000000000101110"
606,"101101100000000010111"
607,"101101100000001"
610,"101101100000000010110"
611,"10110110000000001011"
612,"10110110000000001010"
613,"1011011000000000101"
614,"1011011000000000100"
615,"101101100000000010"
616,"101101100000000011"
618,"10110110000000001"
619,"10110110000000000"
620,"1011011000000000"
621,"1011011000000001"
622,"101101100000000"
623,"10110110000000"
626,"1011011000010"
627,"10110110000110"
628,"1011011000011"
629,"101101100001"
630,"10110110000001"
631,"1011011000001"
632,"1011011000000"
633,"101101100000"
634,"10110110000"
635,"10110110001"
636,"1011011000"
637,"10110110011"
638,"1100"
639,"10110110010"
641,"1011011001"
643,"101101100"
644,"10110111"
645,"101101101"
646,"10110110"
647,"1011011"
648,"1011010"
649,"101101"
650,"101100"
651,"10110"
652,"10111"
653,"1010"
654,"1011"
655,"101"
656,"1101"
657,"110"
658,"111"
659,"100"
660,"10"
661,"11"
663,"1"
